Gmt time,Open,High,Low,Close,Volume
16.06.2021 00:00:00.000,1.21246,1.21347,1.19865,1.19950,120454.2825
17.06.2021 00:00:00.000,1.19949,1.20062,1.18916,1.19130,137577.72160000005
18.06.2021 00:00:00.000,1.19129,1.19249,1.18472,1.18592,137533.86969999998
19.06.2021 00:00:00.000,1.18592,1.18592,1.18592,1.18592,0
20.06.2021 00:00:00.000,1.18542,1.18754,1.18542,1.18705,6660.060100000001
21.06.2021 00:00:00.000,1.18703,1.19213,1.18476,1.19119,111964.7152
22.06.2021 00:00:00.000,1.19119,1.19526,1.18808,1.19364,90359.7994
23.06.2021 00:00:00.000,1.19364,1.19700,1.19113,1.19296,89353.5855
24.06.2021 00:00:00.000,1.19297,1.19562,1.19176,1.19278,81788.1792
25.06.2021 00:00:00.000,1.19278,1.19751,1.19261,1.19347,73314.32920000001
26.06.2021 00:00:00.000,1.19347,1.19347,1.19347,1.19347,0
27.06.2021 00:00:00.000,1.19296,1.19419,1.19296,1.19414,2960.95
28.06.2021 00:00:00.000,1.19415,1.19444,1.19022,1.19286,82983.48469999999
29.06.2021 00:00:00.000,1.19287,1.19295,1.18775,1.19002,87514.89530000002
30.06.2021 00:00:00.000,1.19003,1.19090,1.18450,1.18558,98200.88509999998
01.07.2021 00:00:00.000,1.18559,1.18842,1.18373,1.18457,97891.3944
02.07.2021 00:00:00.000,1.18455,1.18741,1.18070,1.18622,93312.2899
03.07.2021 00:00:00.000,1.18622,1.18622,1.18622,1.18622,0
04.07.2021 00:00:00.000,1.18598,1.18685,1.18555,1.18556,4983.0599
05.07.2021 00:00:00.000,1.18556,1.18804,1.18513,1.18624,59904.2845
06.07.2021 00:00:00.000,1.18623,1.18951,1.18068,1.18221,98055.19989999999
07.07.2021 00:00:00.000,1.18222,1.18364,1.17815,1.17929,98325.6589
08.07.2021 00:00:00.000,1.17928,1.18678,1.17834,1.18463,137221.47549999997
09.07.2021 00:00:00.000,1.18463,1.18810,1.18249,1.18710,95232.41010000001
10.07.2021 00:00:00.000,1.18710,1.18710,1.18710,1.18710,0
11.07.2021 00:00:00.000,1.18751,1.18768,1.18650,1.18722,4242.3003
12.07.2021 00:00:00.000,1.18722,1.18802,1.18360,1.18627,75972.59979999998
13.07.2021 00:00:00.000,1.18627,1.18751,1.17721,1.17748,92556.29460000001
14.07.2021 00:00:00.000,1.17747,1.18387,1.17717,1.18329,80246.9084
15.07.2021 00:00:00.000,1.18329,1.18506,1.17962,1.18112,79818.10560000001
16.07.2021 00:00:00.000,1.18114,1.18221,1.17921,1.18047,71386.3094
17.07.2021 00:00:00.000,1.18047,1.18047,1.18047,1.18047,0
18.07.2021 00:00:00.000,1.18054,1.18138,1.18033,1.18125,2502.4838
19.07.2021 00:00:00.000,1.18125,1.18244,1.17636,1.17917,103838.74469999997
20.07.2021 00:00:00.000,1.17917,1.18024,1.17555,1.17813,104203.9492
21.07.2021 00:00:00.000,1.17811,1.18046,1.17518,1.17922,78190.684
22.07.2021 00:00:00.000,1.17925,1.18304,1.17572,1.17722,115912.60800000001
23.07.2021 00:00:00.000,1.17722,1.17865,1.17544,1.17683,66091.64970000001
